Idx,Distance,MPF,RESP_Azi,RESP_Ele,POOA_1,POOA_2,POOA_3,RSSI_1,RSSI_2,RSSI_3,Gain_idx
21339,43.234313,0,83.773743,32.045280,172.397229,178.648640,6.262398,-35,-38,-45,6
21340,42.882856,0,85.340424,32.045280,172.474136,179.099094,6.624958,-35,-38,-45,6
21341,43.000000,0,81.535622,32.265594,172.847682,177.758721,5.746025,-35,-38,-45,6
21342,43.586123,0,77.521004,33.608463,174.177068,175.528428,1.340373,-35,-38,-46,6
21343,43.703036,0,71.929207,33.608463,171.639149,170.749229,-0.889920,-35,-38,-47,6
21344,43.820319,0,68.795845,33.832275,171.089816,167.519150,-3.131199,-35,-39,-48,6
21345,42.648504,0,71.593491,33.832275,172.309336,170.529496,-1.779839,-35,-38,-48,6
21346,42.648487,0,67.676788,33.384651,169.309977,166.178777,-2.680746,-36,-39,-48,6
21347,43.117267,0,69.691093,33.608463,171.111789,168.431043,-2.241279,-35,-38,-48,6
21348,43.702926,0,73.716209,33.832275,172.902615,172.452162,-0.889920,-35,-38,-47,6
21349,43.117166,0,74.611450,33.608463,173.298135,173.298135,0.000000,-35,-38,-47,6
21350,43.117365,0,76.401947,32.045280,170.232856,174.638508,4.405652,-35,-38,-46,6
21351,42.999979,0,75.506699,32.937027,171.770989,173.935362,2.164373,-36,-38,-46,6
21352,42.531423,0,71.257774,33.160839,171.122776,170.232856,0.450453,-35,-38,-46,6
21353,41.710927,0,72.597145,33.832275,172.847682,171.496323,-1.329386,-36,-38,-46,6
21354,43.117234,0,72.149521,32.937027,170.650349,171.100803,0.450453,-35,-38,-46,6
21355,42.648587,0,70.810150,32.713215,170.606403,169.716483,1.340373,-36,-38,-46,6
21356,42.414148,0,69.914902,33.384651,171.199683,168.881497,-0.889920,-35,-38,-46,6
21357,42.531310,0,71.481590,32.713215,168.958403,170.414136,0.000000,-35,-38,-46,6
21358,43.703199,0,71.257774,33.832275,172.001709,170.210883,-1.790826,-36,-38,-46,6
21359,42.179580,0,69.914902,32.713215,168.859523,168.859523,0.000000,-35,-38,-46,6
21360,42.414084,0,72.597145,32.937027,170.155950,171.496323,0.439467,-35,-38,-46,6
21361,42.179729,0,71.481590,33.384651,171.265603,170.364696,-0.900906,-35,-38,-46,6
21362,42.414085,0,72.597145,33.832275,172.452162,171.551256,-1.746879,-35,-38,-46,6
21363,43.468758,0,75.730507,34.279900,175.517441,174.177068,-0.977813,-36,-38,-47,6
21364,42.062604,0,70.586342,33.832275,172.204962,169.524216,-1.351360,-36,-38,-46,6
21365,42.414144,0,72.597145,34.279900,174.188055,171.419416,-2.241279,-36,-38,-47,6
21366,42.413981,0,-66.781540,34.279900,173.353069,-165.277871,-2.241279,-35,-38,-47,6
21367,42.765638,0,71.481590,33.608463,171.705069,170.430616,-0.889920,-35,-38,-46,6
21368,42.648531,0,71.929207,34.279900,172.847682,170.749229,-2.680746,-35,-38,-46,6
21369,43.234267,0,72.820961,33.608463,172.540056,171.639149,-0.900906,-35,-38,-47,6
21370,42.882979,0,71.257774,32.937027,170.232856,170.232856,0.000000,-35,-38,-46,6
21371,42.531338,0,72.597145,34.056087,173.287149,171.496323,-1.779839,-36,-38,-47,6
21372,42.414234,0,71.929207,33.384651,171.199683,170.749229,-0.450453,-36,-38,-47,6
21373,42.765664,0,71.257774,33.608463,171.946776,170.221870,-1.340373,-36,-38,-46,6
21374,42.297004,0,70.586342,33.160839,170.414136,169.513230,-0.450453,-36,-38,-46,6
21375,42.413947,0,72.373337,34.279900,174.177068,171.199683,-2.175359,-35,-38,-46,6
21376,43.702998,0,71.033966,33.384651,171.199683,169.859310,-0.889920,-35,-38,-47,6
21377,43.585896,0,73.716209,34.056087,173.440962,172.540056,-1.735893,-35,-38,-46,6
21378,43.117276,0,72.820961,33.608463,172.551042,171.650136,-0.900906,-35,-39,-47,6
